length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.22,0.26,1,[2149962.18946589]
10000000.0,0.15,0.075,0.22,0.28,1,[2314951.59217835]
10000000.0,0.15,0.075,0.22,0.30000000000000004,1,[2479837.79382662]
10000000.0,0.15,0.075,0.22,0.32,1,[2644604.88245957]
10000000.0,0.15,0.075,0.22,0.34,1,[2809234.10859697]
10000000.0,0.15,0.075,0.22,0.36000000000000004,1,[2973703.25344926]
10000000.0,0.15,0.075,0.22,0.38,1,[3137985.82874753]
10000000.0,0.15,0.075,0.22,0.4,1,[3302050.05453688]
10000000.0,0.15,0.075,0.22,0.42000000000000004,1,[3465857.54131452]
10000000.0,0.15,0.075,0.22,0.44,1,[3629361.57426671]
10000000.0,0.15,0.075,0.22,0.46,1,[3792504.85576541]
10000000.0,0.15,0.075,0.22,0.48000000000000004,1,[3955216.50095318]
10000000.0,0.15,0.075,0.22,0.5,1,[4117407.98934126]
10000000.0,0.15,0.075,0.22,0.52,1,[4278967.63520125]
10000000.0,0.15,0.075,0.22,0.54,1,[4439752.92169452]
10000000.0,0.15,0.075,0.22,0.56,1,[4599579.69790596]
10000000.0,0.15,0.075,0.22,0.5800000000000001,1,[4758206.67624092]
10000000.0,0.15,0.075,0.22,0.6,1,[4915312.73148519]
10000000.0,0.15,0.075,0.22,0.62,1,[5070462.8974273]
10000000.0,0.15,0.075,0.22,0.64,1,[5223056.11436354]
10000000.0,0.15,0.075,0.22,0.66,1,[5372242.56245646]
10000000.0,0.15,0.075,0.22,0.68,1,[5516788.43384843]
10000000.0,0.15,0.075,0.22,0.7000000000000001,1,[5654845.97730148]
10000000.0,0.15,0.075,0.22,0.7200000000000001,1,[5783544.23234163]
10000000.0,0.15,0.075,0.22,0.74,1,[5898219.99006476]
10000000.0,0.15,0.075,0.22,0.76,1,[5990874.36823046]
10000000.0,0.15,0.075,0.22,0.78,1,[6046812.19321531]
10000000.0,0.15,0.075,0.22,0.8,1,[6036527.5863951]
10000000.0,0.15,0.075,0.22,0.8200000000000001,1,[5893286.33513074]
10000000.0,0.15,0.075,0.22,0.8400000000000001,1,[5439186.68795972]
10000000.0,0.15,0.075,0.22,0.86,1,[4094369.5110708]
10000000.0,0.15,0.075,0.24,0.02,1,[163688.95678034]
10000000.0,0.15,0.075,0.24,0.04,1,[327366.44516037]
10000000.0,0.15,0.075,0.24,0.06,1,[491028.9762219]
10000000.0,0.15,0.075,0.24,0.08,1,[654673.27680495]
10000000.0,0.15,0.075,0.24,0.1,1,[818295.99091038]
10000000.0,0.15,0.075,0.24,0.12000000000000001,1,[981893.5316486]
10000000.0,0.15,0.075,0.24,0.13999999999999999,1,[1145461.97729173]
10000000.0,0.15,0.075,0.24,0.16,1,[1308996.97822766]
10000000.0,0.15,0.075,0.24,0.18,1,[1472493.6614793]
10000000.0,0.15,0.075,0.24,0.19999999999999998,1,[1635946.52525918]
10000000.0,0.15,0.075,0.24,0.22,1,[1799349.31773853]
10000000.0,0.15,0.075,0.24,0.24,1,[1962694.89434221]
10000000.0,0.15,0.075,0.24,0.26,1,[2125975.0471816]
10000000.0,0.15,0.075,0.24,0.28,1,[2289180.29891081]
10000000.0,0.15,0.075,0.24,0.30000000000000004,1,[2452299.65132761]
10000000.0,0.15,0.075,0.24,0.32,1,[2615320.27630608]
10000000.0,0.15,0.075,0.24,0.34,1,[2778227.13290202]
10000000.0,0.15,0.075,0.24,0.36000000000000004,1,[2941002.48934385]
10000000.0,0.15,0.075,0.24,0.38,1,[3103625.32156197]
10000000.0,0.15,0.075,0.24,0.4,1,[3266070.5501056]
10000000.0,0.15,0.075,0.24,0.42000000000000004,1,[3428308.06353939]
10000000.0,0.15,0.075,0.24,0.44,1,[3590301.4568821]
10000000.0,0.15,0.075,0.24,0.46,1,[3752006.38556345]
10000000.0,0.15,0.075,0.24,0.48000000000000004,1,[3913368.39441937]
10000000.0,0.15,0.075,0.24,0.5,1,[4074320.02060633]
10000000.0,0.15,0.075,0.24,0.52,1,[4234776.87804281]
10000000.0,0.15,0.075,0.24,0.54,1,[4394632.29110851]
10000000.0,0.15,0.075,0.24,0.56,1,[4553749.82670846]
10000000.0,0.15,0.075,0.24,0.5800000000000001,1,[4711952.72464041]
10000000.0,0.15,0.075,0.24,0.6,1,[4869008.65506508]
10000000.0,0.15,0.075,0.24,0.62,1,[5024607.27259444]
10000000.0,0.15,0.075,0.24,0.64,1,[5178326.37694728]
10000000.0,0.15,0.075,0.24,0.66,1,[5329579.52206999]
10000000.0,0.15,0.075,0.24,0.68,1,[5477532.4038651]
10000000.0,0.15,0.075,0.24,0.7000000000000001,1,[5620964.6716036]
10000000.0,0.15,0.075,0.24,0.7200000000000001,1,[5758032.04057458]
