desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 12, SKR: 502521.49701741344
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 12, SKR: 513390.9740533785
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 12, SKR: 524177.7642598837
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 12, SKR: 534534.7040247142
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 12, SKR: 1364818.2973907588
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 12, SKR: 1394479.2475813294
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 12, SKR: 1424119.012895416
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 12, SKR: 1453642.6094821934
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 12, SKR: 1663281.6535911916
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 12, SKR: 1697881.643424011
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 12, SKR: 1773555.8844845665
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 13, SKR: 404260.2078868429
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 13, SKR: 415185.5187931251
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 13, SKR: 426110.3887244653
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 13, SKR: 437034.6878329893
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 13, SKR: 447958.186175067
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 13, SKR: 458880.5032949793
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 13, SKR: 469800.99122604344
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 13, SKR: 480718.4806319309
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 13, SKR: 491630.6801791995
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 13, SKR: 502532.5491629976
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 13, SKR: 513410.9217968094
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 13, SKR: 524220.1125006058
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 13, SKR: 534672.6363073725
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 13, SKR: 1364818.4938752197
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 13, SKR: 1394480.8065190355
