mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.19999999999999998, factor_x_mud: 1, SKR: [629557.47935822]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.22, factor_x_mud: 1, SKR: [692480.09178863]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.24, factor_x_mud: 1, SKR: [755393.78383343]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.26, factor_x_mud: 1, SKR: [818297.58300179]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.28, factor_x_mud: 1, SKR: [881190.40168649]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.30000000000000004, factor_x_mud: 1, SKR: [944071.01834062]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.32, factor_x_mud: 1, SKR: [1006938.05526845]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.34, factor_x_mud: 1, SKR: [1069789.9522202]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.36000000000000004, factor_x_mud: 1, SKR: [1132624.93478088]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.38, factor_x_mud: 1, SKR: [1195440.97627757]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.4, factor_x_mud: 1, SKR: [1258235.75157664]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.42000000000000004, factor_x_mud: 1, SKR: [1321006.58067219]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.44, factor_x_mud: 1, SKR: [1383750.35933658]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.46, factor_x_mud: 1, SKR: [1446463.47325032]
